"Transaction Type","Date","Amount Debited","Debit Currency","Amount Credited","Credit Currency","Buy / Sell Rate","Direction","Spot Rate","Source / Destination","Blockchain Transaction ID"
"purchase/sale","2020-01-31T06:37:16+00",0.0000173,"BTC",0.73,"CAD","42621.7650","sale",,,
"shakingsats","2020-02-01T05:25:56+00",,,0.0000092,"BTC",,"credit","42731.8212",,
"shakingsats","2020-02-02T07:25:23+00",,,0.0000054,"BTC",,"credit","43860.1188",,
"shakingsats","2020-02-03T06:47:01+00",,,0.0000057,"BTC",,"credit","47008.5777",,
"shakingsats","2020-02-04T20:13:37+00",,,0.0000059,"BTC",,"credit","48454.4432",,
"fiat funding","2020-02-04T20:21:43+00",,,300,"CAD",,"credit",,"test@gmail.com",
"purchase/sale","2020-02-04T20:22:18+00",0.0000262,"BTC",1.24,"CAD","47618.5594","sale",,,
"purchase/sale","2020-02-04T20:22:39+00",302.64,"CAD",0.139411617727282,"ETH","2170.8377","purchase",,,
"crypto cashout","2020-02-04T20:23:32+00",0.160474444298753,"ETH",,,,"debit","2134.4957","0x0000000000000000000000000000000000000000","0x5bc8594daf277c53ecc226c5ce8e2b4ce4d066a391c43a49d1aaddc69099d89d"
"shakingsats","2020-02-05T06:40:40+00",,,0.0000061,"BTC",,"credit","48054.6066",,
"shakingsats","2020-02-06T06:21:58+00",,,0.0000063,"BTC",,"credit","50099.5106",,
"shakingsats","2020-02-07T06:55:54+00",,,0.0000066,"BTC",,"credit","49256.2707",,
"shakingsats","2020-02-08T08:35:11+00",,,0.0000068,"BTC",,"credit","50109.6566",,
"shakingsats","2020-02-09T15:32:19+00",,,0.000007,"BTC",,"credit","59691.9772",,
"shakingsats","2020-02-10T08:10:19+00",,,0.0000072,"BTC",,"credit","59297.6292",,
"other","2020-02-10T15:08:20+00",,,30,"CAD",,"credit",,,
"shakingsats","2020-02-11T05:30:14+00",,,0.0000074,"BTC",,"credit","56622.6577",,
"shakingsats","2020-02-12T05:14:00+00",,,0.0000076,"BTC",,"credit","60488.8376",,
"shakingsats","2020-02-13T14:18:24+00",,,0.0000078,"BTC",,"credit","59460.2882",,
"purchase/sale","2020-02-13T14:18:50+00",30,"CAD",0.00049794,"BTC","60248.1693","purchase",,,
"shakingsats","2020-02-14T07:02:39+00",,,0.000008,"BTC",,"credit","61900.5081",,
"shakingsats","2020-02-15T05:18:04+00",,,0.0000083,"BTC",,"credit","59345.2677",,
"shakingsats","2020-02-16T06:02:20+00",,,0.0000085,"BTC",,"credit","62125.2392",,
"shakingsats","2020-02-17T06:08:01+00",,,0.0000087,"BTC",,"credit","63115.5296",,
"shakingsats","2020-02-19T08:33:16+00",,,0.0000025,"BTC",,"credit","65657.4393",,
"shakingsats","2020-02-20T05:09:07+00",,,0.0000028,"BTC",,"credit","70394.5783",,
"shakingsats","2020-02-21T07:39:46+00",,,0.000003,"BTC",,"credit","70916.6455",,
"shakingsats","2020-02-22T08:22:35+00",,,0.0000033,"BTC",,"credit","71219.3558",,
"shakingsats","2020-02-23T05:00:06+00",,,0.0000035,"BTC",,"credit","63836.8689",,
"shakingsats","2020-02-24T06:59:12+00",,,0.0000038,"BTC",,"credit","62989.7880",,
"shakingsats","2020-02-25T07:54:07+00",,,0.000004,"BTC",,"credit","63165.9259",,
"shakingsats","2020-02-26T09:17:56+00",,,0.0000043,"BTC",,"credit","58385.8775",,
"shakingsats","2020-02-27T13:53:04+00",,,0.0000045,"BTC",,"credit","60637.4276",,
"crypto cashout","2020-02-27T13:56:56+00",0.00052629,"BTC",,,,"debit","60553.6060","0x0000000000000000000000000000000000000001","0x5bc8594daf277c53ecc226c5ce8e2b4ce4d066a391c43a49d1aaddc69099d89d"
"shakingsats","2020-02-28T05:19:33+00",,,0.0000047,"BTC",,"credit","57556.7146",,
"shakingsats","2020-03-01T05:31:54+00",,,0.000005,"BTC",,"credit","58676.5041",,
"shakingsats","2020-03-02T23:06:06+00",,,0.0000031,"BTC",,"credit","60622.0649",,
"shakingsats","2020-03-03T08:04:33+00",,,0.0000033,"BTC",,"credit","63010.9355",,
"shakingsats","2020-03-04T08:15:50+00",,,0.0000034,"BTC",,"credit","63799.2199",,
"shakingsats","2020-03-05T07:39:44+00",,,0.0000035,"BTC",,"credit","59673.2972",,
"shakingsats","2020-03-06T05:47:56+00",,,0.0000037,"BTC",,"credit","61609.6609",,
"shakingsats","2020-03-07T09:29:55+00",,,0.0000038,"BTC",,"credit","64207.2064",,
"shakingsats","2020-03-08T08:19:52+00",,,0.0000039,"BTC",,"credit","62611.0091",,
"shakingsats","2020-03-09T08:23:30+00",,,0.0000041,"BTC",,"credit","68336.6971",,
"shakingsats","2020-03-10T07:06:48+00",,,0.0000042,"BTC",,"credit","68400.1753",,
"shakingsats","2020-03-11T08:08:27+00",,,0.0000043,"BTC",,"credit","68778.9805",,
"shakingsats","2020-03-12T09:23:41+00",,,0.0000045,"BTC",,"credit","71077.9721",,
"shakingsats","2020-03-13T06:01:38+00",,,0.0000046,"BTC",,"credit","70885.0768",,
"shakingsats","2020-03-14T06:29:21+00",,,0.0000047,"BTC",,"credit","75745.3001",,
"shakingsats","2020-03-15T05:44:16+00",,,0.0000048,"BTC",,"credit","73970.9790",,
"shakingsats","2020-03-16T06:57:14+00",,,0.000005,"BTC",,"credit","68593.8620",,
"shakingsats","2020-03-17T04:44:18+00",,,0.0000051,"BTC",,"credit","69553.5971",,
"shakingsats","2020-03-18T07:07:54+00",,,0.0000052,"BTC",,"credit","72722.1338",,
"crypto cashout","2020-03-18T07:21:25+00",0.00017033,"BTC",,,,"debit","72733.4846","0x0000000000000000000000000000000000000001","0x5bc8594daf277c53ecc226c5ce8e2b4ce4d066a391c43a49d1aaddc69099d89d"
"shakingsats","2020-03-20T12:33:28+00",,,0.0000015,"BTC",,"credit","73799.7070",,
"shakingsats","2020-03-21T20:05:41+00",,,0.0000017,"BTC",,"credit","72254.2715",,
"shakingsats","2020-03-22T04:20:52+00",,,0.0000018,"BTC",,"credit","72213.3421",,
"shakingsats","2020-03-23T07:24:18+00",,,0.000002,"BTC",,"credit","67438.3534",,
"shakingsats","2020-03-24T06:11:45+00",,,0.0000021,"BTC",,"credit","67732.1408",,
"shakingsats","2020-03-25T05:37:03+00",,,0.0000023,"BTC",,"credit","66317.0650",,
"shakingsats","2020-03-26T05:07:02+00",,,0.0000024,"BTC",,"credit","66249.2398",,
"shakingsats","2020-03-27T05:20:13+00",,,0.0000026,"BTC",,"credit","69055.4114",,
"shakingsats","2020-03-28T21:42:32+00",,,0.0000027,"BTC",,"credit","69276.1052",,
"shakingsats","2020-03-29T09:17:49+00",,,0.0000028,"BTC",,"credit","71954.8221",,
"shakingsats","2020-03-30T06:35:40+00",,,0.000003,"BTC",,"credit","72715.6191",,
"shakingsats","2020-03-31T05:50:17+00",,,0.0000031,"BTC",,"credit","73992.6812",,
"shakingsats","2020-04-01T19:30:13+00",,,0.0000033,"BTC",,"credit","73682.6474",,
"shakingsats","2020-04-02T04:17:31+00",,,0.0000034,"BTC",,"credit","74911.8088",,
"shakingsats","2020-04-03T04:50:43+00",,,0.0000035,"BTC",,"credit","74711.1444",,
"shakingsats","2020-04-05T00:04:44+00",,,0.0000037,"BTC",,"credit","73302.7101",,
"shakingsats","2020-04-05T06:37:27+00",,,0.0000038,"BTC",,"credit","71979.3788",,
"shakingsats","2020-04-06T04:45:01+00",,,0.0000039,"BTC",,"credit","73673.0523",,
"shakingsats","2020-04-07T05:30:24+00",,,0.0000041,"BTC",,"credit","72625.3949",,
"shakingsats","2020-04-08T07:09:03+00",,,0.0000042,"BTC",,"credit","71986.9251",,
"shakingsats","2020-04-09T16:21:44+00",,,0.0000043,"BTC",,"credit","72802.9436",,
"shakingsats","2020-04-10T04:36:49+00",,,0.0000045,"BTC",,"credit","75591.7171",,
"shakingsats","2020-04-11T05:13:02+00",,,0.0000046,"BTC",,"credit","75054.2172",,
"shakingsats","2020-04-12T06:47:32+00",,,0.0000047,"BTC",,"credit","75876.2279",,
"shakingsats","2020-04-13T05:27:58+00",,,0.0000048,"BTC",,"credit","76253.9713",,
"shakingsats","2020-04-15T22:37:29+00",,,0.0000015,"BTC",,"credit","79621.8776",,
"shakingsats","2020-04-16T06:55:31+00",,,0.0000017,"BTC",,"credit","77022.3414",,
"shakingsats","2020-04-17T04:51:18+00",,,0.0000018,"BTC",,"credit","77864.7754",,
"shakingsats","2020-04-18T04:03:10+00",,,0.000002,"BTC",,"credit","69334.9479",,
"shakingsats","2020-04-19T06:28:47+00",,,0.0000021,"BTC",,"credit","71057.5554",,
"shakingsats","2020-04-20T06:10:35+00",,,0.0000023,"BTC",,"credit","68744.5782",,
"shakingsats","2020-04-21T05:41:56+00",,,0.0000024,"BTC",,"credit","69715.3793",,
"shakingsats","2020-04-22T04:17:46+00",,,0.0000026,"BTC",,"credit","67527.1606",,
"shakingsats","2020-04-23T06:53:02+00",,,0.0000027,"BTC",,"credit","60782.9106",,
"shakingsats","2020-04-24T04:46:58+00",,,0.0000028,"BTC",,"credit","62886.5300",,
"shakingsats","2020-04-25T20:42:28+00",,,0.000003,"BTC",,"credit","61682.9031",,
"shakingsats","2020-04-26T04:04:29+00",,,0.0000031,"BTC",,"credit","65198.3610",,
"shakingsats","2020-04-27T05:56:50+00",,,0.0000033,"BTC",,"credit","66942.7240",,
"fiat funding","2020-04-27T18:43:20+00",,,5,"CAD",,"credit",,"test@gmail.com",
"peer transfer","2020-04-27T18:45:33+00",5,"CAD",,,,"debit",,"@testing",
"peer transfer","2020-04-27T18:46:42+00",,,5,"CAD",,"credit",,"@testing",
"shakingsats","2020-04-28T05:37:56+00",,,0.0000034,"BTC",,"credit","67754.5544",,
"peer transfer","2020-04-28T21:11:16+00",5,"CAD",,,,"debit",,"@testing",
"peer transfer","2020-04-28T21:11:39+00",,,5,"CAD",,"credit",,"@testing",
"shakingsats","2020-04-29T05:59:48+00",,,0.0000035,"BTC",,"credit","66373.8330",,
"peer transfer","2020-04-30T03:10:30+00",5,"CAD",,,,"debit",,"@testing",
"peer transfer","2020-04-30T03:10:55+00",,,5,"CAD",,"credit",,"@testing",
"shakingsats","2020-04-30T05:55:44+00",,,0.0000037,"BTC",,"credit","66582.1641",,
"peer transfer","2020-04-30T21:01:42+00",5,"CAD",,,,"debit",,"@testing",
"peer transfer","2020-05-01T00:35:58+00",,,5,"CAD",,"credit",,"@testing",
"shakingsats","2020-05-01T04:32:26+00",,,0.0000038,"BTC",,"credit","71213.1216",,
"peer transfer","2020-05-02T03:07:59+00",5,"CAD",,,,"debit",,"@testing",
"peer transfer","2020-05-02T03:10:51+00",,,5,"CAD",,"credit",,"@testing",
"shakingsats","2020-05-02T04:19:45+00",,,0.00000265,"BTC",,"credit","69832.2215",,
"peer transfer","2020-05-02T04:19:53+00",5,"CAD",,,,"debit",,"@testing",
"peer transfer","2020-05-02T04:23:06+00",,,5,"CAD",,"credit",,"@testing",
"shakingsats","2020-05-03T04:27:48+00",,,0.0000027,"BTC",,"credit","71296.9488",,
"peer transfer","2020-05-03T04:27:58+00",5,"CAD",,,,"debit",,"@testing",
"peer transfer","2020-05-03T04:31:19+00",,,5,"CAD",,"credit",,"@testing",
"shakingsats","2020-05-04T04:31:17+00",,,0.0000028,"BTC",,"credit","68548.2715",,
"peer transfer","2020-05-04T04:31:39+00",5,"CAD",,,,"debit",,"@testing",
"peer transfer","2020-05-04T05:38:48+00",,,5,"CAD",,"credit",,"@testing",
"peer transfer","2020-05-04T17:14:16+00",5,"CAD",,,,"debit",,"@testing",
"peer transfer","2020-05-04T17:38:39+00",,,5,"CAD",,"credit",,"@testing",
"shakingsats","2020-05-05T04:17:59+00",,,0.0000029,"BTC",,"credit","67365.8628",,
"peer transfer","2020-05-05T04:18:10+00",5,"CAD",,,,"debit",,"@testing",
"peer transfer","2020-05-05T04:22:34+00",,,5,"CAD",,"credit",,"@testing",
"shakingsats","2020-05-06T04:57:43+00",,,0.00000295,"BTC",,"credit","69828.8380",,
"peer transfer","2020-05-06T04:57:53+00",5,"CAD",,,,"debit",,"@testing",
"peer transfer","2020-05-06T05:00:25+00",,,5,"CAD",,"credit",,"@testing",
"shakingsats","2020-05-07T05:32:23+00",,,0.00000305,"BTC",,"credit","67999.4107",,
"peer transfer","2020-05-07T05:32:33+00",5,"CAD",,,,"debit",,"@testing",
"peer transfer","2020-05-07T06:42:19+00",,,5,"CAD",,"credit",,"@testing",
"shakingsats","2020-05-08T04:03:12+00",,,0.00000315,"BTC",,"credit","70554.9740",,
"peer transfer","2020-05-08T04:03:52+00",5,"CAD",,,,"debit",,"@testing",
"peer transfer","2020-05-08T04:20:07+00",,,5,"CAD",,"credit",,"@testing",
"shakingsats","2020-05-09T05:54:46+00",,,0.0000032,"BTC",,"credit","71119.2412",,
"peer transfer","2020-05-09T05:55:00+00",5,"CAD",,,,"debit",,"@testing",
"peer transfer","2020-05-09T05:56:39+00",,,5,"CAD",,"credit",,"@testing",
"shakingsats","2020-05-10T04:08:54+00",,,0.0000033,"BTC",,"credit","72102.3110",,
"peer transfer","2020-05-10T04:09:09+00",5,"CAD",,,,"debit",,"@testing",
"peer transfer","2020-05-10T05:21:34+00",,,5,"CAD",,"credit",,"@testing",
"shakingsats","2020-05-11T05:14:15+00",,,0.0000034,"BTC",,"credit","66851.2968",,
"peer transfer","2020-05-11T05:14:30+00",5,"CAD",,,,"debit",,"@testing",
"peer transfer","2020-05-11T07:11:28+00",,,5,"CAD",,"credit",,"@testing",
"shakingsats","2020-05-12T04:19:46+00",,,0.00000345,"BTC",,"credit","70213.8630",,
"peer transfer","2020-05-12T04:20:03+00",5,"CAD",,,,"debit",,"@testing",
"peer transfer","2020-05-12T04:24:55+00",,,5,"CAD",,"credit",,"@testing",
"shakingsats","2020-05-14T01:18:33+00",,,0.00000355,"BTC",,"credit","61272.0083",,
"peer transfer","2020-05-14T01:18:43+00",5,"CAD",,,,"debit",,"@testing",
"peer transfer","2020-05-14T01:18:58+00",,,5,"CAD",,"credit",,"@testing",
"shakingsats","2020-05-14T06:17:03+00",,,0.0000036,"BTC",,"credit","60047.8299",,
"peer transfer","2020-05-14T06:17:16+00",5,"CAD",,,,"debit",,"@testing",
"peer transfer","2020-05-14T06:32:51+00",,,5,"CAD",,"credit",,"@testing",
"shakingsats","2020-05-15T04:54:00+00",,,0.0000037,"BTC",,"credit","59796.5289",,
"peer transfer","2020-05-15T04:54:11+00",5,"CAD",,,,"debit",,"@testing",
"peer transfer","2020-05-15T05:00:39+00",,,5,"CAD",,"credit",,"@testing",
"shakingsats","2020-05-16T04:06:59+00",,,0.00000375,"BTC",,"credit","58823.6773",,
"peer transfer","2020-05-16T04:07:12+00",5,"CAD",,,,"debit",,"@testing",
"peer transfer","2020-05-16T06:24:53+00",,,5,"CAD",,"credit",,"@testing",
"shakingsats","2020-05-17T04:01:51+00",,,0.00000385,"BTC",,"credit","51862.6665",,
"peer transfer","2020-05-17T04:02:08+00",5,"CAD",,,,"debit",,"@testing",
"peer transfer","2020-05-17T04:15:17+00",,,5,"CAD",,"credit",,"@testing",
"shakingsats","2020-05-18T05:26:48+00",,,0.00000395,"BTC",,"credit","54604.8541",,
"peer transfer","2020-05-18T05:27:00+00",5,"CAD",,,,"debit",,"@testing",
"peer transfer","2020-05-18T05:27:17+00",,,5,"CAD",,"credit",,"@testing",
"shakingsats","2020-05-19T04:12:30+00",,,0.000004,"BTC",,"credit","48872.6951",,
"peer transfer","2020-05-19T04:12:43+00",5,"CAD",,,,"debit",,"@testing",
"peer transfer","2020-05-19T05:23:16+00",,,5,"CAD",,"credit",,"@testing",
"shakingsats","2020-05-20T22:48:27+00",,,0.00000405,"BTC",,"credit","48150.7133",,
"peer transfer","2020-05-20T22:48:46+00",5,"CAD",,,,"debit",,"@testing",
"peer transfer","2020-05-20T23:11:42+00",,,5,"CAD",,"credit",,"@testing",
"shakingsats","2020-05-21T16:13:21+00",,,0.00000415,"BTC",,"credit","44192.9013",,
"peer transfer","2020-05-21T16:13:31+00",5,"CAD",,,,"debit",,"@testing",
"peer transfer","2020-05-21T17:54:12+00",,,5,"CAD",,"credit",,"@testing",
"shakingsats","2020-05-22T16:45:39+00",,,0.0000042,"BTC",,"credit","46264.1657",,
"peer transfer","2020-05-22T16:45:48+00",5,"CAD",,,,"debit",,"@testing",
"peer transfer","2020-05-22T17:38:09+00",,,5,"CAD",,"credit",,"@testing",
"shakingsats","2020-05-23T04:30:50+00",,,0.0000043,"BTC",,"credit","44884.9730",,
"peer transfer","2020-05-23T04:31:04+00",5,"CAD",,,,"debit",,"@testing",
"peer transfer","2020-05-23T04:35:10+00",,,5,"CAD",,"credit",,"@testing",
"shakingsats","2020-05-24T04:34:48+00",,,0.00000435,"BTC",,"credit","42492.3439",,
"peer transfer","2020-05-24T04:35:03+00",5,"CAD",,,,"debit",,"@testing",
"peer transfer","2020-05-24T04:52:27+00",,,5,"CAD",,"credit",,"@testing",
"shakingsats","2020-05-25T04:25:27+00",,,0.00000445,"BTC",,"credit","45575.3168",,
"peer transfer","2020-05-25T04:25:37+00",5,"CAD",,,,"debit",,"@testing",
"peer transfer","2020-05-25T04:55:15+00",,,5,"CAD",,"credit",,"@testing",
"shakingsats","2020-05-26T07:29:05+00",,,0.0000045,"BTC",,"credit","48793.6844",,
"peer transfer","2020-05-26T07:29:16+00",5,"CAD",,,,"debit",,"@testing",
"peer transfer","2020-05-26T07:30:50+00",,,5,"CAD",,"credit",,"@testing",
"shakingsats","2020-05-27T04:51:23+00",,,0.00000455,"BTC",,"credit","45682.1520",,
"peer transfer","2020-05-27T04:51:33+00",5,"CAD",,,,"debit",,"@testing",
"peer transfer","2020-05-27T05:11:20+00",,,5,"CAD",,"credit",,"@testing",
"shakingsats","2020-05-28T20:08:56+00",,,0.00000465,"BTC",,"credit","43481.0760",,
"peer transfer","2020-05-28T20:09:07+00",5,"CAD",,,,"debit",,"@testing",
"peer transfer","2020-05-28T22:00:53+00",,,5,"CAD",,"credit",,"@testing",
"shakingsats","2020-05-29T05:08:56+00",,,0.0000047,"BTC",,"credit","43671.9174",,
"peer transfer","2020-05-29T05:09:10+00",5,"CAD",,,,"debit",,"@testing",
"peer transfer","2020-05-29T05:32:51+00",,,5,"CAD",,"credit",,"@testing",
"shakingsats","2020-05-30T09:18:57+00",,,0.00000475,"BTC",,"credit","43380.4501",,
"peer transfer","2020-05-30T09:19:07+00",5,"CAD",,,,"debit",,"@testing",
"peer transfer","2020-05-30T09:25:58+00",,,5,"CAD",,"credit",,"@testing",
"shakingsats","2020-05-31T04:49:57+00",,,0.00000485,"BTC",,"credit","41548.0093",,
"peer transfer","2020-05-31T04:50:17+00",5,"CAD",,,,"debit",,"@testing",
"peer transfer","2020-05-31T05:18:58+00",,,5,"CAD",,"credit",,"@testing",
"shakingsats","2020-06-01T04:49:49+00",,,0.0000049,"BTC",,"credit","44429.6174",,
"peer transfer","2020-06-01T04:50:03+00",5,"CAD",,,,"debit",,"@testing",
"peer transfer","2020-06-01T04:50:49+00",,,5,"CAD",,"credit",,"@testing",
"shakingsats","2020-06-03T00:05:06+00",,,0.00000495,"BTC",,"credit","45581.4644",,
"shakingsats","2020-06-03T04:40:22+00",,,0.00000505,"BTC",,"credit","45645.3090",,
"peer transfer","2020-06-03T04:40:32+00",5,"CAD",,,,"debit",,"@testing",
"peer transfer","2020-06-03T05:08:51+00",,,5,"CAD",,"credit",,"@testing",
"shakingsats","2020-06-04T06:29:21+00",,,0.0000051,"BTC",,"credit","44705.5357",,
"peer transfer","2020-06-04T06:29:33+00",5,"CAD",,,,"debit",,"@testing",
"peer transfer","2020-06-04T06:58:39+00",,,5,"CAD",,"credit",,"@testing",
"shakingsats","2020-06-05T04:12:22+00",,,0.00000515,"BTC",,"credit","45392.1730",,
"peer transfer","2020-06-05T04:12:33+00",5,"CAD",,,,"debit",,"@testing",
"peer transfer","2020-06-05T07:05:54+00",,,5,"CAD",,"credit",,"@testing",
"shakingsats","2020-06-06T04:23:15+00",,,0.0000052,"BTC",,"credit","43587.2010",,
"peer transfer","2020-06-06T04:23:59+00",5,"CAD",,,,"debit",,"@testing",
"peer transfer","2020-06-06T06:44:46+00",,,5,"CAD",,"credit",,"@testing",
"shakingsats","2020-06-07T05:22:19+00",,,0.0000053,"BTC",,"credit","43859.7797",,
"peer transfer","2020-06-07T05:22:32+00",5,"CAD",,,,"debit",,"@testing",
"peer transfer","2020-06-07T05:26:08+00",,,5,"CAD",,"credit",,"@testing",
"shakingsats","2020-06-08T04:22:42+00",,,0.00000535,"BTC",,"credit","39796.0362",,
"peer transfer","2020-06-08T04:22:53+00",5,"CAD",,,,"debit",,"@testing",
"peer transfer","2020-06-08T07:17:25+00",,,5,"CAD",,"credit",,"@testing",
"shakingsats","2020-06-10T01:45:06+00",,,0.0000054,"BTC",,"credit","44936.6286",,
"peer transfer","2020-06-10T01:45:18+00",5,"CAD",,,,"debit",,"@testing",
"peer transfer","2020-06-10T01:46:24+00",,,5,"CAD",,"credit",,"@testing",
"shakingsats","2020-06-11T22:35:38+00",,,0.000001,"BTC",,"credit","45433.3795",,
"peer transfer","2020-06-11T22:35:51+00",5,"CAD",,,,"debit",,"@testing",
"peer transfer","2020-06-11T22:42:23+00",,,5,"CAD",,"credit",,"@testing",
"shakingsats","2020-06-12T04:56:18+00",,,0.0000011,"BTC",,"credit","42758.2389",,
"peer transfer","2020-06-12T04:56:29+00",5,"CAD",,,,"debit",,"@testing",
"shakingsats","2020-06-13T05:23:10+00",,,0.0000012,"BTC",,"credit","42521.9136",,
"peer transfer","2020-06-13T06:14:19+00",,,5,"CAD",,"credit",,"@testing",
"peer transfer","2020-06-13T06:20:25+00",5,"CAD",,,,"debit",,"@testing",
"shakingsats","2020-06-14T05:49:14+00",,,0.0000013,"BTC",,"credit","48039.8970",,
"peer transfer","2020-06-14T09:24:46+00",,,5,"CAD",,"credit",,"@testing",
"shakingsats","2020-06-15T20:31:15+00",,,0.0000014,"BTC",,"credit","48747.5831",,
"peer transfer","2020-06-15T20:31:34+00",5,"CAD",,,,"debit",,"@testing",
"peer transfer","2020-06-16T00:25:31+00",,,5,"CAD",,"credit",,"@testing",
"shakingsats","2020-06-16T08:24:40+00",,,0.0000015,"BTC",,"credit","48910.0497",,
"peer transfer","2020-06-16T08:43:45+00",5,"CAD",,,,"debit",,"@testing",
"peer transfer","2020-06-16T09:06:45+00",,,5,"CAD",,"credit",,"@testing",
"shakingsats","2020-06-17T04:13:39+00",,,0.0000016,"BTC",,"credit","47859.3156",,
"peer transfer","2020-06-17T04:14:04+00",5,"CAD",,,,"debit",,"@testing",
"peer transfer","2020-06-17T04:14:35+00",,,5,"CAD",,"credit",,"@testing",
"shakingsats","2020-06-18T04:59:12+00",,,0.0000017,"BTC",,"credit","46912.4891",,
"peer transfer","2020-06-18T04:59:26+00",5,"CAD",,,,"debit",,"@testing",
"peer transfer","2020-06-18T06:10:13+00",,,5,"CAD",,"credit",,"@testing",
"shakingsats","2020-06-19T05:41:41+00",,,0.0000018,"BTC",,"credit","44302.5194",,
"peer transfer","2020-06-20T01:10:46+00",5,"CAD",,,,"debit",,"@testing",
"shakingsats","2020-06-20T07:11:10+00",,,0.0000019,"BTC",,"credit","44219.3815",,
"peer transfer","2020-06-20T21:28:35+00",,,5,"CAD",,"credit",,"@testing",
"peer transfer","2020-06-20T22:55:39+00",5,"CAD",,,,"debit",,"@testing",
"shakingsats","2020-06-21T08:20:17+00",,,0.000002,"BTC",,"credit","41426.6693",,
"peer transfer","2020-06-21T09:47:38+00",,,5,"CAD",,"credit",,"@testing",
"peer transfer","2020-06-21T16:32:18+00",5,"CAD",,,,"debit",,"@testing",
"shakingsats","2020-06-22T04:10:42+00",,,0.0000021,"BTC",,"credit","40699.8460",,
"peer transfer","2020-06-22T04:11:10+00",,,5,"CAD",,"credit",,"@testing",
"peer transfer","2020-06-22T04:12:14+00",5,"CAD",,,,"debit",,"@testing",
"shakingsats","2020-06-23T07:50:37+00",,,0.0000022,"BTC",,"credit","41946.6000",,
"peer transfer","2020-06-23T08:12:31+00",,,5,"CAD",,"credit",,"@testing",
"peer transfer","2020-06-23T21:44:38+00",5,"CAD",,,,"debit",,"@testing",
"shakingsats","2020-06-24T05:31:45+00",,,0.00000225,"BTC",,"credit","40334.7111",,
"peer transfer","2020-06-24T07:25:29+00",,,5,"CAD",,"credit",,"@testing",
"peer transfer","2020-06-24T21:53:23+00",5,"CAD",,,,"debit",,"@testing",
"peer transfer","2020-06-25T09:35:35+00",,,5,"CAD",,"credit",,"@testing",
"shakingsats","2020-06-25T20:11:28+00",,,0.00000235,"BTC",,"credit","39441.2415",,
"peer transfer","2020-06-25T20:11:39+00",5,"CAD",,,,"debit",,"@testing",
"peer transfer","2020-06-26T07:17:02+00",,,5,"CAD",,"credit",,"@testing",
"shakingsats","2020-06-27T08:42:05+00",,,0.000001,"BTC",,"credit","40902.0068",,
"peer transfer","2020-06-27T08:42:14+00",5,"CAD",,,,"debit",,"@testing",
"peer transfer","2020-06-27T10:24:29+00",,,5,"CAD",,"credit",,"@testing",
"shakingsats","2020-06-29T03:39:19+00",,,0.0000011,"BTC",,"credit","42688.1965",,
"peer transfer","2020-06-29T03:39:31+00",5,"CAD",,,,"debit",,"@testing",
